"name","comment"
"AtoCas_11","fraglich kl"
"AtoCas_13","ok"
"AtoCas_14","fraglich"
"AtoCas_18","drift"
"AtoCas_26","mp"
"AtoCas_27","drift"
"AtoCas_29","starke präf"
"AtoCas_33","flugfaul"
"AtoCas_34","starke präf drift"
"AtoCas_36","mp"
"AtoCas_37","mp"
"AtoCas_39","seems ok"
"AtoCas_40","seems pk"
"AtoCas_41","seems ok"
"AtoCas_43","slight drift"
"AtoCas_45","fly dead"
"AtoCas_51","seems ok"
"AtoCas_53","slight drift"
"AtoCas_54","drift"
"AtoCas_55","seems ok"
"AtoCas_57","ok"
"AtoCas_7","ok"
"AtoCas_9","slight d"
"AtoCasFoxP_105","starke präf"
"AtoCasFoxP_109","starke präfdrift"
"AtoCasFoxP_111","seems ok"
"AtoCasFoxP_114","slight drift"
"AtoCasFoxP_115","mp"
"AtoCasFoxP_116","seems ok"
"AtoCasFoxP_117","ok"
"AtoCasFoxP_118","flugfaul"
"AtoCasFoxP_12","verwerfen kein flug"
"AtoCasFoxP_120","fraglich"
"AtoCasFoxP_124","drift"
"AtoCasFoxP_125","fly dead"
"AtoCasFoxP_128","drift, flugfaul"
"AtoCasFoxP_16","ungleich"
"AtoCasFoxP_19","ok"
"AtoCasFoxP_22","ok"
"AtoCasFoxP_27","nicht mehr geflogen"
"AtoCasFoxP_29","flugfaul"
"AtoCasFoxP_30","nur mit laser motivierbar"
"AtoCasFoxP_31","fehlerhaft"
"AtoCasFoxP_32","ok"
"AtoCasFoxP_34","drift"
"AtoCasFoxP_35","mp"
"AtoCasFoxP_37","ok"
"AtoCasFoxP_4","okish"
"AtoCasFoxP_40","mp"
"AtoCasFoxP_41","slight drift"
"AtoCasFoxP_42","ok"
"AtoCasFoxP_48","slight drift mp"
"AtoCasFoxP_51","drift"
"AtoCasFoxP_54","seems ok"
"AtoCasFoxP_56","ok"
"AtoCasFoxP_59","flugfaul verwerfen"
"AtoCasFoxP_6","okish!?"
"AtoCasFoxP_61","flugfaul slight drift"
"AtoCasFoxP_67","flugfaul"
"AtoCasFoxP_68","nur mit laser zu motivieren"
"AtoCasFoxP_7","ok"
"AtoCasFoxP_70","schwache optom"
"AtoCasFoxP_71","ok"
"AtoCasFoxP_73","weak opto"
"AtoCasFoxP_78","nml"
"AtoCasFoxP_8","ok"
"AtoFoxp_10","ok"
"AtoFoxP_12","verwerfen"
"AtoFoxP_13","ok"
"AtoFoxP_15","fehlerhaft"
"AtoFoxP_18","ok"
"AtoFoxp_20","ok"
"AtoFoxp_21","drift"
"AtoFoxP_24","drift"
"AtoFoxP_26","dead"
"AtoFoxP_27","mp"
"AtoFoxp_3","laser off testfor drift"
"AtoFoxP_30","seems ok"
"AtoFoxP_31","seems ok mp"
"AtoFoxP_34","ok"
"AtoFoxp_4","laser schwach"
"AtoFoxp_5","okish"
"AtoFoxp_8","okish"
